Date,Open,High,Low,Close
28/11/1997,20.45,20.45,18.36,18.94
31/10/1997,19.82,21.75,19.3,20.02
30/09/1997,18.5,20.13,18.15,19.9
29/08/1997,18.76,19.64,18.1,18.51
31/07/1997,18.54,19.09,17.8,18.94
30/06/1997,19.31,19.62,17.32,18.51
30/05/1997,18.42,20.6,17.87,19.4
30/04/1997,19.06,19.27,17.54,18.52
31/03/1997,18.95,20.84,18.68,19.38
28/02/1997,22.45,22.77,18.8,18.85
31/01/1997,24.5,24.91,22,22.52
31/12/1996,22.85,24.65,22,23.81
29/11/1996,22.65,23.99,22.11,22.77
31/10/1996,22.9,25.06,22.62,22.67
30/09/1996,21.48,24.39,21.45,23.21
30/08/1996,19,21,18.79,20.78
31/07/1996,18.93,20.55,18.67,18.9
28/06/1996,17.76,19.24,17.48,18.91
31/05/1996,18.85,19.68,16.78,17.8
30/04/1996,19.4,23.3,18.08,19.02
29/03/1996,17.9,20.3,17.2,19.41
29/02/1996,16.6,18.45,16.43,17.76
31/01/1996,18.55,19.31,15.93,16.52
29/12/1995,17.07,18.53,17.06,18.33
30/11/1995,16.37,17.19,16.21,17.04
31/10/1995,16.16,16.42,15.58,16.33
29/09/1995,16.28,17.04,15.83,16.12
31/08/1995,16.15,16.51,15.76,16.25
31/07/1995,16.4,16.4,15.41,16.01
30/06/1995,17.69,18.23,16.2,16.38
31/05/1995,19.25,19.38,17.31,17.7
28/04/1995,17.42,19.17,17.28,19.06
31/03/1995,16.92,17.6,16.36,17.5
28/02/1995,16.84,17.57,16.58,16.87
31/01/1995,16.48,17.08,16.05,16.8
30/12/1994,17.12,17.16,15.6,16.5
30/11/1994,16.92,17.94,16.34,17.11
31/10/1994,17.1,17.32,15.62,16.92
30/09/1994,16.4,17.2,15.35,17.15
31/08/1994,18.9,19.41,15.6,16.36
29/07/1994,17.55,18.68,17.01,18.59
30/06/1994,16.44,17.75,15.73,17.52
31/05/1994,15.85,16.79,15.45,16.45
29/04/1994,14.2,15.87,13.77,15.69
31/03/1994,13.43,14.16,12.95,13.25
28/02/1994,14.19,15.13,12.9,13.35
31/01/1994,13.55,14.58,13.2,14.22
31/12/1993,14.44,14.62,13.2,13.2
30/11/1993,15.87,16.41,13.97,14.52
29/10/1993,17.25,17.48,15.8,15.8
30/09/1993,17.05,17.57,15.47,17.43
31/08/1993,16.7,17.55,16.25,17.08
30/07/1993,17.51,17.51,15.9,16.75
30/06/1993,18.61,18.77,17.32,17.51
31/05/1993,19.25,19.3,18.1,18.6
30/04/1993,18.93,19.24,18.68,19.15
31/03/1993,18.93,19.68,18.25,18.9
26/02/1993,18.45,19.2,17.62,18.92
29/01/1993,18.2,18.69,16.82,18.47
31/12/1992,18.91,18.93,17.65,18.29
30/11/1992,19.5,19.7,18.73,18.84
